run,task,arm,verdict,control_run,n_nodes,n_improve,n_with_report,draft_with_report,injected_branch_best,injected_branch_valid,other_branches_best,n_invocations,n_invocations_ok,n_mechanisms,n_valid_children,n_adopted,adoption_source,delta_adopted_mean,delta_not_adopted_mean,delta_control_mean,n_cites,n_papers,venue_nlp,venue_ml,venue_vision,venue_ai,venue_other,top3_share,distinct_title_ratio,n_queries,domain_query_share,mean_turns,mean_in_tokens,mean_seconds,score_effect_vs_A
20260903_010254_essay-ana-s49,essay,D,ok,20260903_005101_essay-base-s49,24,11,11,0,,,0.835294,12,12,22,7,11,proxy,-0.00546,,0.01519,36,17,0.417,0.278,0.111,0.194,0.0,0.389,1.0,165,0.127,3.66667,47467.83333,67.94167,-0.0023800000000000487
20260903_203358_jubias-ana-s46,jigsaw-unintended-bias-in-toxicity-classification,D,invalid,,7,0,0,0,,,,0,0,0,0,0,proxy,,,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,,-0.16183999999999998
20260903_205054_jubias-ana-s47,jigsaw-unintended-bias-in-toxicity-classification,D,invalid,,12,0,0,0,,,,0,0,0,0,0,proxy,,,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,,0.18014000000000008
20260903_225058_jubias-ana-s45,jigsaw-unintended-bias-in-toxicity-classification,D,ok,,10,0,0,0,,,0.8890573885229621,2,2,0,0,0,proxy,,,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28,0.071,3.5,47773.0,73.8,0.10137999999999991
20260905_004447_jubias-ana-s47,jigsaw-unintended-bias-in-toxicity-classification,D,invalid,,3,0,0,0,,,,0,0,0,0,0,proxy,,,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,,0.18014000000000008
20260905_005525_jubias-ana-s46,jigsaw-unintended-bias-in-toxicity-classification,D,ok,20260905_005038_jubias-base-s46,11,2,2,0,,,0.7782925470003612,3,3,4,1,2,proxy,-6e-05,,,6,6,0.167,0.667,0.0,0.167,0.0,0.5,1.0,38,0.079,3.33333,41593.66667,71.23333,-0.16183999999999998
20260905_011231_jubias-ana-s45,jigsaw-unintended-bias-in-toxicity-classification,D,ok,,7,1,1,0,,,0.7699496982293698,1,1,2,0,1,proxy,,,,5,5,0.2,0.8,0.0,0.0,0.0,0.6,1.0,15,0.067,3.0,36111.0,71.8,0.10137999999999991
20260905_083801_jubias-ana-s47,jigsaw-unintended-bias-in-toxicity-classification,D,ok,,7,0,0,0,,,0.9322138085582827,2,2,0,0,0,proxy,,,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21,0.048,3.0,33780.0,64.3,0.18014000000000008
20260907_102241_jubias-anad-s48,jigsaw-unintended-bias-in-toxicity-classification,E,invalid,,5,0,1,1,,0/2,,1,1,2,0,0,proxy,,,,2,2,0.0,1.0,0.0,0.0,0.0,1.0,1.0,10,0.2,3.0,29970.0,57.6,0.003549999999999942
20260907_183806_jubias-anad-s48,jigsaw-unintended-bias-in-toxicity-classification,E,invalid,,1,0,0,0,,,,1,1,0,0,0,proxy,,,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12,0.167,3.0,33367.0,62.9,0.003549999999999942
20260907_185317_jubias-anad-s49,jigsaw-unintended-bias-in-toxicity-classification,E,invalid,,3,0,0,0,,,,1,1,0,0,0,proxy,,,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14,0.286,4.0,50805.0,77.3,-0.00985999999999998
20260907_200046_jubias-anad-s48,jigsaw-unintended-bias-in-toxicity-classification,E,ok,20260907_195942_jubias-base-s48,10,2,1,1,0.9079356653060763,3/5,0.9250798041781171,1,1,1,0,1,proxy,,,-0.02687,2,2,0.0,0.5,0.0,0.5,0.0,1.0,1.0,15,0.067,3.0,38902.0,61.0,0.003549999999999942
20260907_201102_jubias-anad-s49,jigsaw-unintended-bias-in-toxicity-classification,E,ok,,9,0,1,1,0.8328664877484824,1/3,,1,1,2,0,1,proxy,,,,2,2,0.0,1.0,0.0,0.0,0.0,1.0,1.0,14,0.286,3.0,33913.0,66.4,-0.00985999999999998
20260907_201129_jubias-anad-s50,jigsaw-unintended-bias-in-toxicity-classification,E,ok,20260907_200656_jubias-base-s50,10,4,1,1,0.9150541617856892,1/2,0.9213963423885987,1,1,2,0,1,proxy,,,0.00986,2,2,0.0,1.0,0.0,0.0,0.0,1.0,1.0,15,0.133,3.0,35603.0,60.4,-0.015009999999999968
20260903_202943_tf2qa-ana-s44,tensorflow2-question-answering,D,invalid,,7,0,0,0,,,,0,0,0,0,0,proxy,,,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,,
20260903_204632_tf2qa-ana-s42,tensorflow2-question-answering,D,invalid,,13,0,0,0,,,,0,0,0,0,0,proxy,,,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,,
20260905_005808_tf2qa-ana-s42,tensorflow2-question-answering,D,invalid,,2,0,0,0,,,,0,0,0,0,0,proxy,,,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,,
